"","added_at","is_local","primary_color","added_by.href","added_by.id","added_by.type","added_by.uri","added_by.external_urls.spotify","track.disc_number","track.duration_ms","track.episode","track.explicit","track.href","track.id","track.is_local","track.name","track.popularity","track.preview_url","track.track","track.track_number","track.type","track.uri","track.album.album_type","track.album.href","track.album.id","track.album.name","track.album.release_date","track.album.release_date_precision","track.album.total_tracks","track.album.type","track.album.uri","track.album.external_urls.spotify","track.external_ids.isrc","track.external_urls.spotify","video_thumbnail.url","playlist"
"407","2020-09-27T02:01:45Z",FALSE,NA,"https://api.spotify.com/v1/users/alexanderabbas","alexanderabbas","user","spotify:user:alexanderabbas","https://open.spotify.com/user/alexanderabbas",1,253333,FALSE,FALSE,"https://api.spotify.com/v1/tracks/1rs7lqaXBlcw1N9wuHiQyJ","1rs7lqaXBlcw1N9wuHiQyJ",FALSE,"Charlotte Sometimes - Single Version",45,"https://p.scdn.co/mp3-preview/a7bb334ba4e8fef198ce5555bf95699fd547a87d?cid=1e3e367c14764614b74fd97888444a27",TRUE,24,"track","spotify:track:1rs7lqaXBlcw1N9wuHiQyJ","album","https://api.spotify.com/v1/albums/0BGTV9xi9NFdUjA3erGs1T","0BGTV9xi9NFdUjA3erGs1T","Faith (Deluxe Edition)","1981-04-10","day",24,"album","spotify:album:0BGTV9xi9NFdUjA3erGs1T","https://open.spotify.com/album/0BGTV9xi9NFdUjA3erGs1T","USEE10500410","https://open.spotify.com/track/1rs7lqaXBlcw1N9wuHiQyJ",NA,"Neu Wave"
"408","2020-10-22T04:33:21Z",FALSE,NA,"https://api.spotify.com/v1/users/alexanderabbas","alexanderabbas","user","spotify:user:alexanderabbas","https://open.spotify.com/user/alexanderabbas",1,278973,FALSE,FALSE,"https://api.spotify.com/v1/tracks/2MAVcVr2oylw2OZ3hojWYj","2MAVcVr2oylw2OZ3hojWYj",FALSE,"'74-'75",65,NA,TRUE,3,"track","spotify:track:2MAVcVr2oylw2OZ3hojWYj","album","https://api.spotify.com/v1/albums/41aJgAReVkh1pA0aKAvT4W","41aJgAReVkh1pA0aKAvT4W","Ring","1993-01-01","day",13,"album","spotify:album:41aJgAReVkh1pA0aKAvT4W","https://open.spotify.com/album/41aJgAReVkh1pA0aKAvT4W","USRZ51010979","https://open.spotify.com/track/2MAVcVr2oylw2OZ3hojWYj",NA,"Neu Wave"
"409","2020-10-22T04:33:32Z",FALSE,NA,"https://api.spotify.com/v1/users/alexanderabbas","alexanderabbas","user","spotify:user:alexanderabbas","https://open.spotify.com/user/alexanderabbas",1,186760,FALSE,FALSE,"https://api.spotify.com/v1/tracks/7bewjF4mXADsbxAdMnG1jF","7bewjF4mXADsbxAdMnG1jF",FALSE,"Fun & Games",30,NA,TRUE,2,"track","spotify:track:7bewjF4mXADsbxAdMnG1jF","album","https://api.spotify.com/v1/albums/2DWuFdxz5TkzM7TuSok7OZ","2DWuFdxz5TkzM7TuSok7OZ","Fun & Games","1989-01-01","day",12,"album","spotify:album:2DWuFdxz5TkzM7TuSok7OZ","https://open.spotify.com/album/2DWuFdxz5TkzM7TuSok7OZ","USRZ51010947","https://open.spotify.com/track/7bewjF4mXADsbxAdMnG1jF",NA,"Neu Wave"
"410","2020-10-22T04:33:53Z",FALSE,NA,"https://api.spotify.com/v1/users/alexanderabbas","alexanderabbas","user","spotify:user:alexanderabbas","https://open.spotify.com/user/alexanderabbas",1,196293,FALSE,FALSE,"https://api.spotify.com/v1/tracks/1f5c9kjt35YpxF7aFuXJn5","1f5c9kjt35YpxF7aFuXJn5",FALSE,"Upside Down",15,NA,TRUE,4,"track","spotify:track:1f5c9kjt35YpxF7aFuXJn5","album","https://api.spotify.com/v1/albums/2DWuFdxz5TkzM7TuSok7OZ","2DWuFdxz5TkzM7TuSok7OZ","Fun & Games","1989-01-01","day",12,"album","spotify:album:2DWuFdxz5TkzM7TuSok7OZ","https://open.spotify.com/album/2DWuFdxz5TkzM7TuSok7OZ","USRZ51010949","https://open.spotify.com/track/1f5c9kjt35YpxF7aFuXJn5",NA,"Neu Wave"
"411","2020-10-22T04:34:25Z",FALSE,NA,"https://api.spotify.com/v1/users/alexanderabbas","alexanderabbas","user","spotify:user:alexanderabbas","https://open.spotify.com/user/alexanderabbas",1,204266,FALSE,FALSE,"https://api.spotify.com/v1/tracks/0zQgAGkxkAXj3VCvtLirJy","0zQgAGkxkAXj3VCvtLirJy",FALSE,"Scotty's Lament",21,NA,TRUE,1,"track","spotify:track:0zQgAGkxkAXj3VCvtLirJy","album","https://api.spotify.com/v1/albums/3iAv3CFh3UEXxDhUeulQvK","3iAv3CFh3UEXxDhUeulQvK","Boylan Heights","1987-01-01","day",11,"album","spotify:album:3iAv3CFh3UEXxDhUeulQvK","https://open.spotify.com/album/3iAv3CFh3UEXxDhUeulQvK","USRZ51010935","https://open.spotify.com/track/0zQgAGkxkAXj3VCvtLirJy",NA,"Neu Wave"
"412","2020-11-03T01:40:42Z",FALSE,NA,"https://api.spotify.com/v1/users/alexanderabbas","alexanderabbas","user","spotify:user:alexanderabbas","https://open.spotify.com/user/alexanderabbas",1,286520,FALSE,FALSE,"https://api.spotify.com/v1/tracks/4uicsZMFDiuhcbefWGtega","4uicsZMFDiuhcbefWGtega",FALSE,"She's Gone",0,"https://p.scdn.co/mp3-preview/3ea5ed6f9cfc3cc2d8bdb1fed3d07d003ab46b6d?cid=1e3e367c14764614b74fd97888444a27",TRUE,3,"track","spotify:track:4uicsZMFDiuhcbefWGtega","compilation","https://api.spotify.com/v1/albums/0XJjJ71aCvuqNGAjEk98ZY","0XJjJ71aCvuqNGAjEk98ZY","The Incomplete Recordings : 1981 - 1988","2008-04-29","day",18,"album","spotify:album:0XJjJ71aCvuqNGAjEk98ZY","https://open.spotify.com/album/0XJjJ71aCvuqNGAjEk98ZY","US25T0821203","https://open.spotify.com/track/4uicsZMFDiuhcbefWGtega",NA,"Neu Wave"
"413","2020-11-03T01:41:15Z",FALSE,NA,"https://api.spotify.com/v1/users/alexanderabbas","alexanderabbas","user","spotify:user:alexanderabbas","https://open.spotify.com/user/alexanderabbas",1,225666,FALSE,FALSE,"https://api.spotify.com/v1/tracks/14nDJFSHWik32CnaTUA3r4","14nDJFSHWik32CnaTUA3r4",FALSE,"Policeman In My Neighbor's Yard",1,"https://p.scdn.co/mp3-preview/7289ebc90bf4deca84634fcf92d6dc616da48747?cid=1e3e367c14764614b74fd97888444a27",TRUE,12,"track","spotify:track:14nDJFSHWik32CnaTUA3r4","compilation","https://api.spotify.com/v1/albums/0XJjJ71aCvuqNGAjEk98ZY","0XJjJ71aCvuqNGAjEk98ZY","The Incomplete Recordings : 1981 - 1988","2008-04-29","day",18,"album","spotify:album:0XJjJ71aCvuqNGAjEk98ZY","https://open.spotify.com/album/0XJjJ71aCvuqNGAjEk98ZY","US25T0821212","https://open.spotify.com/track/14nDJFSHWik32CnaTUA3r4",NA,"Neu Wave"
"414","2020-11-03T01:42:06Z",FALSE,NA,"https://api.spotify.com/v1/users/alexanderabbas","alexanderabbas","user","spotify:user:alexanderabbas","https://open.spotify.com/user/alexanderabbas",1,159520,FALSE,FALSE,"https://api.spotify.com/v1/tracks/0h5OzbSn23Bn7XWBcuJx2x","0h5OzbSn23Bn7XWBcuJx2x",FALSE,"Around the World",2,"https://p.scdn.co/mp3-preview/e8b4eae779733d7f2e5e140bfcd761ed08867d73?cid=1e3e367c14764614b74fd97888444a27",TRUE,18,"track","spotify:track:0h5OzbSn23Bn7XWBcuJx2x","compilation","https://api.spotify.com/v1/albums/0XJjJ71aCvuqNGAjEk98ZY","0XJjJ71aCvuqNGAjEk98ZY","The Incomplete Recordings : 1981 - 1988","2008-04-29","day",18,"album","spotify:album:0XJjJ71aCvuqNGAjEk98ZY","https://open.spotify.com/album/0XJjJ71aCvuqNGAjEk98ZY","US25T0821218","https://open.spotify.com/track/0h5OzbSn23Bn7XWBcuJx2x",NA,"Neu Wave"
"415","2020-11-03T01:42:32Z",FALSE,NA,"https://api.spotify.com/v1/users/alexanderabbas","alexanderabbas","user","spotify:user:alexanderabbas","https://open.spotify.com/user/alexanderabbas",1,254066,FALSE,FALSE,"https://api.spotify.com/v1/tracks/6eRLUjHubf9tlO7ZCc04Da","6eRLUjHubf9tlO7ZCc04Da",FALSE,"I'm Not the One",39,"https://p.scdn.co/mp3-preview/f7c26858416bcc6ffee4edf81354e0c9cf0915d3?cid=1e3e367c14764614b74fd97888444a27",TRUE,3,"track","spotify:track:6eRLUjHubf9tlO7ZCc04Da","album","https://api.spotify.com/v1/albums/4lDlCfyIhAXwP3hO2GVUaw","4lDlCfyIhAXwP3hO2GVUaw","Shake It Up","1981-11-06","day",9,"album","spotify:album:4lDlCfyIhAXwP3hO2GVUaw","https://open.spotify.com/album/4lDlCfyIhAXwP3hO2GVUaw","USEA28300009","https://open.spotify.com/track/6eRLUjHubf9tlO7ZCc04Da",NA,"Neu Wave"
"416","2020-11-03T01:43:51Z",FALSE,NA,"https://api.spotify.com/v1/users/alexanderabbas","alexanderabbas","user","spotify:user:alexanderabbas","https://open.spotify.com/user/alexanderabbas",2,263040,FALSE,FALSE,"https://api.spotify.com/v1/tracks/3fH4KjXFYMmljxrcGrbPj9","3fH4KjXFYMmljxrcGrbPj9",FALSE,"Don't You (Forget About Me)",74,NA,TRUE,1,"track","spotify:track:3fH4KjXFYMmljxrcGrbPj9","album","https://api.spotify.com/v1/albums/4YimfceN1R0nOS9CefIFhm","4YimfceN1R0nOS9CefIFhm","Once Upon A Time (Super Deluxe)","1985","year",47,"album","spotify:album:4YimfceN1R0nOS9CefIFhm","https://open.spotify.com/album/4YimfceN1R0nOS9CefIFhm","GBAAA8500001","https://open.spotify.com/track/3fH4KjXFYMmljxrcGrbPj9",NA,"Neu Wave"
